ID,LKS92-E,LKS92-N
0,760534.1061000023,248865.2800999992
1,760534.1061000023,246865.2800999992
2,760534.1061000023,245865.2800999992
3,760534.1061000023,244865.2800999992
4,760534.1061000023,237865.2800999992
5,759534.1061000023,245865.2800999992
6,759534.1061000023,242865.2800999992
7,758534.1061000023,253865.2800999992
8,758534.1061000023,251865.2800999992
9,758534.1061000023,250865.2800999992
10,758534.1061000023,249865.2800999992
11,758534.1061000023,247865.2800999992
12,758534.1061000023,246865.2800999992
13,758534.1061000023,238865.2800999992
14,758534.1061000023,237865.2800999992
15,758534.1061000023,236865.2800999992
16,758534.1061000023,234865.2800999992
17,757534.1061000023,263865.2800999992
18,757534.1061000023,258865.2800999992
19,757534.1061000023,254865.2800999992
20,757534.1061000023,253865.2800999992
21,757534.1061000023,249865.2800999992
22,757534.1061000023,247865.2800999992
23,757534.1061000023,236865.2800999992
24,757534.1061000023,235865.2800999992
25,757534.1061000023,232865.2800999992
26,756534.1061000023,256865.2800999992
27,756534.1061000023,255865.2800999992
28,756534.1061000023,254865.2800999992
29,756534.1061000023,251865.2800999992
30,756534.1061000023,250865.2800999992
31,756534.1061000023,248865.2800999992
32,756534.1061000023,244865.2800999992
33,756534.1061000023,242865.2800999992
34,756534.1061000023,241865.2800999992
35,756534.1061000023,240865.2800999992
36,756534.1061000023,238865.2800999992
37,756534.1061000023,234865.2800999992
38,756534.1061000023,232865.2800999992
39,755534.1061000023,265865.2800999992
40,755534.1061000023,262865.2800999992
41,755534.1061000023,261865.2800999992
42,755534.1061000023,255865.2800999992
43,755534.1061000023,250865.2800999992
44,755534.1061000023,247865.2800999992
45,755534.1061000023,244865.2800999992
46,755534.1061000023,243865.2800999992
47,755534.1061000023,242865.2800999992
48,755534.1061000023,241865.2800999992
49,755534.1061000023,238865.2800999992
50,755534.1061000023,232865.2800999992
51,754534.1061000023,267865.2800999992
52,754534.1061000023,266865.2800999992
53,754534.1061000023,264865.2800999992
54,754534.1061000023,262865.2800999992
55,754534.1061000023,260865.2800999992
56,754534.1061000023,259865.2800999992
57,754534.1061000023,257865.2800999992
58,754534.1061000023,253865.2800999992
59,754534.1061000023,251865.2800999992
60,754534.1061000023,250865.2800999992
61,754534.1061000023,249865.2800999992
62,754534.1061000023,246865.2800999992
63,754534.1061000023,243865.2800999992
64,754534.1061000023,240865.2800999992
65,754534.1061000023,230865.2800999992
66,753534.1061000023,277865.2800999992
67,753534.1061000023,276865.2800999992
68,753534.1061000023,275865.2800999992
69,753534.1061000023,267865.2800999992
70,753534.1061000023,265865.2800999992
71,753534.1061000023,263865.2800999992
72,753534.1061000023,259865.2800999992
73,753534.1061000023,251865.2800999992
74,753534.1061000023,250865.2800999992
75,753534.1061000023,248865.2800999992
76,753534.1061000023,247865.2800999992
77,753534.1061000023,245865.2800999992
78,753534.1061000023,244865.2800999992
79,753534.1061000023,243865.2800999992
80,753534.1061000023,236865.2800999992
81,753534.1061000023,235865.2800999992
82,752534.1061000023,274865.2800999992
83,752534.1061000023,268865.2800999992
84,752534.1061000023,267865.2800999992
85,752534.1061000023,266865.2800999992
86,752534.1061000023,263865.2800999992
87,752534.1061000023,261865.2800999992
88,752534.1061000023,249865.2800999992
89,752534.1061000023,248865.2800999992
90,752534.1061000023,245865.2800999992
91,752534.1061000023,238865.2800999992
92,752534.1061000023,237865.2800999992
93,752534.1061000023,234865.2800999992
94,752534.1061000023,232865.2800999992
95,752534.1061000023,228865.2800999992
96,751534.1061000023,276865.2800999992
97,751534.1061000023,275865.2800999992
98,751534.1061000023,274865.2800999992
99,751534.1061000023,273865.2800999992
100,751534.1061000023,272865.2800999992
101,751534.1061000023,271865.2800999992
102,751534.1061000023,265865.2800999992
103,751534.1061000023,262865.2800999992
104,751534.1061000023,260865.2800999992
105,751534.1061000023,254865.2800999992
106,751534.1061000023,252865.2800999992
107,751534.1061000023,251865.2800999992
108,751534.1061000023,248865.2800999992
109,751534.1061000023,244865.2800999992
110,751534.1061000023,240865.2800999992
111,751534.1061000023,239865.2800999992
112,751534.1061000023,237865.2800999992
113,751534.1061000023,235865.2800999992
114,751534.1061000023,234865.2800999992
115,751534.1061000023,233865.2800999992
116,750534.1061000023,275865.2800999992
117,750534.1061000023,272865.2800999992
118,750534.1061000023,271865.2800999992
119,750534.1061000023,270865.2800999992
120,750534.1061000023,269865.2800999992
121,750534.1061000023,268865.2800999992
122,750534.1061000023,267865.2800999992
123,750534.1061000023,266865.2800999992
124,750534.1061000023,265865.2800999992
125,750534.1061000023,263865.2800999992
126,750534.1061000023,262865.2800999992
127,750534.1061000023,257865.2800999992
128,750534.1061000023,253865.2800999992
129,750534.1061000023,251865.2800999992
130,750534.1061000023,250865.2800999992
131,750534.1061000023,247865.2800999992
132,750534.1061000023,246865.2800999992
133,750534.1061000023,245865.2800999992
134,750534.1061000023,244865.2800999992
135,750534.1061000023,242865.2800999992
136,750534.1061000023,241865.2800999992
137,750534.1061000023,239865.2800999992
138,750534.1061000023,238865.2800999992
139,750534.1061000023,237865.2800999992
140,750534.1061000023,236865.2800999992
141,750534.1061000023,235865.2800999992
142,750534.1061000023,234865.2800999992
143,750534.1061000023,233865.2800999992
144,750534.1061000023,232865.2800999992
145,750534.1061000023,227865.2800999992
146,750534.1061000023,226865.2800999992
147,749534.1061000023,273865.2800999992
148,749534.1061000023,272865.2800999992
149,749534.1061000023,270865.2800999992
150,749534.1061000023,268865.2800999992
151,749534.1061000023,267865.2800999992
152,749534.1061000023,265865.2800999992
153,749534.1061000023,264865.2800999992
154,749534.1061000023,263865.2800999992
155,749534.1061000023,258865.2800999992
156,749534.1061000023,257865.2800999992
157,749534.1061000023,255865.2800999992
158,749534.1061000023,249865.2800999992
159,749534.1061000023,247865.2800999992
160,749534.1061000023,246865.2800999992
161,749534.1061000023,244865.2800999992
162,749534.1061000023,243865.2800999992
163,749534.1061000023,242865.2800999992
164,749534.1061000023,241865.2800999992
165,749534.1061000023,239865.2800999992
166,749534.1061000023,237865.2800999992
167,749534.1061000023,236865.2800999992
168,749534.1061000023,235865.2800999992
169,749534.1061000023,231865.2800999992
170,749534.1061000023,230865.2800999992
171,748534.1061000023,275865.2800999992
172,748534.1061000023,268865.2800999992
173,748534.1061000023,265865.2800999992
174,748534.1061000023,258865.2800999992
175,748534.1061000023,257865.2800999992
176,748534.1061000023,254865.2800999992
177,748534.1061000023,251865.2800999992
178,748534.1061000023,250865.2800999992
179,748534.1061000023,248865.2800999992
180,748534.1061000023,247865.2800999992
181,748534.1061000023,246865.2800999992
182,748534.1061000023,242865.2800999992
183,748534.1061000023,241865.2800999992
184,748534.1061000023,234865.2800999992
185,748534.1061000023,230865.2800999992
186,747534.1061000023,278865.2800999992
187,747534.1061000023,274865.2800999992
188,747534.1061000023,273865.2800999992
189,747534.1061000023,271865.2800999992
190,747534.1061000023,269865.2800999992
191,747534.1061000023,263865.2800999992
192,747534.1061000023,257865.2800999992
193,747534.1061000023,254865.2800999992
194,747534.1061000023,250865.2800999992
195,747534.1061000023,245865.2800999992
196,747534.1061000023,239865.2800999992
197,747534.1061000023,236865.2800999992
198,747534.1061000023,235865.2800999992
199,747534.1061000023,232865.2800999992
200,747534.1061000023,231865.2800999992
201,746534.1061000023,270865.2800999992
202,746534.1061000023,269865.2800999992
203,746534.1061000023,258865.2800999992
204,746534.1061000023,249865.2800999992
205,746534.1061000023,246865.2800999992
206,746534.1061000023,245865.2800999992
207,746534.1061000023,244865.2800999992
208,746534.1061000023,243865.2800999992
209,746534.1061000023,242865.2800999992
210,746534.1061000023,232865.2800999992
211,746534.1061000023,228865.2800999992
212,746534.1061000023,227865.2800999992
213,746534.1061000023,226865.2800999992
214,746534.1061000023,225865.2800999992
215,745534.1061000023,286865.2800999992
216,745534.1061000023,278865.2800999992
217,745534.1061000023,273865.2800999992
218,745534.1061000023,267865.2800999992
219,745534.1061000023,263865.2800999992
220,745534.1061000023,250865.2800999992
221,745534.1061000023,244865.2800999992
222,745534.1061000023,241865.2800999992
223,745534.1061000023,235865.2800999992
224,745534.1061000023,234865.2800999992
225,745534.1061000023,232865.2800999992
226,745534.1061000023,227865.2800999992
227,745534.1061000023,226865.2800999992
228,745534.1061000023,223865.2800999992
229,744534.1061000023,289865.2800999992
230,744534.1061000023,288865.2800999992
231,744534.1061000023,285865.2800999992
232,744534.1061000023,283865.2800999992
233,744534.1061000023,276865.2800999992
234,744534.1061000023,272865.2800999992
235,744534.1061000023,269865.2800999992
236,744534.1061000023,268865.2800999992
237,744534.1061000023,265865.2800999992
238,744534.1061000023,264865.2800999992
239,744534.1061000023,254865.2800999992
240,744534.1061000023,252865.2800999992
241,744534.1061000023,251865.2800999992
242,744534.1061000023,247865.2800999992
243,744534.1061000023,246865.2800999992
244,744534.1061000023,243865.2800999992
245,744534.1061000023,242865.2800999992
246,744534.1061000023,241865.2800999992
247,744534.1061000023,240865.2800999992
248,744534.1061000023,238865.2800999992
249,744534.1061000023,237865.2800999992
250,744534.1061000023,236865.2800999992
251,744534.1061000023,235865.2800999992
252,744534.1061000023,231865.2800999992
253,744534.1061000023,229865.2800999992
254,744534.1061000023,228865.2800999992
255,744534.1061000023,227865.2800999992
256,744534.1061000023,220865.2800999992
257,743534.1061000023,288865.2800999992
258,743534.1061000023,287865.2800999992
259,743534.1061000023,286865.2800999992
260,743534.1061000023,284865.2800999992
261,743534.1061000023,282865.2800999992
262,743534.1061000023,278865.2800999992
263,743534.1061000023,276865.2800999992
264,743534.1061000023,275865.2800999992
265,743534.1061000023,274865.2800999992
266,743534.1061000023,272865.2800999992
267,743534.1061000023,267865.2800999992
268,743534.1061000023,266865.2800999992
269,743534.1061000023,260865.2800999992
270,743534.1061000023,258865.2800999992
271,743534.1061000023,248865.2800999992
272,743534.1061000023,237865.2800999992
273,743534.1061000023,235865.2800999992
274,743534.1061000023,232865.2800999992
275,743534.1061000023,229865.2800999992
276,743534.1061000023,227865.2800999992
277,743534.1061000023,225865.2800999992
278,743534.1061000023,221865.2800999992
279,742534.1061000023,290865.2800999992
280,742534.1061000023,289865.2800999992
281,742534.1061000023,288865.2800999992
282,742534.1061000023,286865.2800999992
283,742534.1061000023,285865.2800999992
284,742534.1061000023,278865.2800999992
285,742534.1061000023,277865.2800999992
286,742534.1061000023,276865.2800999992
287,742534.1061000023,275865.2800999992
288,742534.1061000023,274865.2800999992
289,742534.1061000023,273865.2800999992
290,742534.1061000023,269865.2800999992
291,742534.1061000023,264865.2800999992
292,742534.1061000023,259865.2800999992
293,742534.1061000023,258865.2800999992
294,742534.1061000023,255865.2800999992
295,742534.1061000023,250865.2800999992
296,742534.1061000023,249865.2800999992
297,742534.1061000023,248865.2800999992
298,742534.1061000023,246865.2800999992
299,742534.1061000023,242865.2800999992
300,742534.1061000023,238865.2800999992
301,742534.1061000023,237865.2800999992
302,742534.1061000023,236865.2800999992
303,742534.1061000023,235865.2800999992
304,742534.1061000023,232865.2800999992
305,742534.1061000023,227865.2800999992
306,742534.1061000023,226865.2800999992
307,742534.1061000023,221865.2800999992
308,742534.1061000023,220865.2800999992
309,742534.1061000023,218865.2800999992
310,741534.1061000023,304865.2800999992
311,741534.1061000023,303865.2800999992
312,741534.1061000023,291865.2800999992
313,741534.1061000023,290865.2800999992
314,741534.1061000023,289865.2800999992
315,741534.1061000023,288865.2800999992
316,741534.1061000023,287865.2800999992
317,741534.1061000023,286865.2800999992
318,741534.1061000023,284865.2800999992
319,741534.1061000023,282865.2800999992
320,741534.1061000023,280865.2800999992
321,741534.1061000023,277865.2800999992
322,741534.1061000023,276865.2800999992
323,741534.1061000023,274865.2800999992
324,741534.1061000023,273865.2800999992
325,741534.1061000023,271865.2800999992
326,741534.1061000023,270865.2800999992
327,741534.1061000023,269865.2800999992
328,741534.1061000023,267865.2800999992
329,741534.1061000023,264865.2800999992
330,741534.1061000023,251865.2800999992
331,741534.1061000023,249865.2800999992
332,741534.1061000023,247865.2800999992
333,741534.1061000023,243865.2800999992
334,741534.1061000023,242865.2800999992
335,741534.1061000023,239865.2800999992
336,741534.1061000023,238865.2800999992
337,741534.1061000023,237865.2800999992
338,741534.1061000023,233865.2800999992
339,741534.1061000023,228865.2800999992
340,741534.1061000023,227865.2800999992
341,741534.1061000023,224865.2800999992
342,741534.1061000023,223865.2800999992
343,741534.1061000023,222865.2800999992
344,741534.1061000023,220865.2800999992
345,740534.1061000023,302865.2800999992
346,740534.1061000023,291865.2800999992
347,740534.1061000023,290865.2800999992
348,740534.1061000023,289865.2800999992
349,740534.1061000023,287865.2800999992
350,740534.1061000023,286865.2800999992
351,740534.1061000023,285865.2800999992
352,740534.1061000023,283865.2800999992
353,740534.1061000023,276865.2800999992
354,740534.1061000023,275865.2800999992
355,740534.1061000023,274865.2800999992
356,740534.1061000023,273865.2800999992
357,740534.1061000023,270865.2800999992
358,740534.1061000023,269865.2800999992
359,740534.1061000023,268865.2800999992
360,740534.1061000023,267865.2800999992
361,740534.1061000023,264865.2800999992
362,740534.1061000023,259865.2800999992
363,740534.1061000023,253865.2800999992
364,740534.1061000023,252865.2800999992
365,740534.1061000023,247865.2800999992
366,740534.1061000023,244865.2800999992
367,740534.1061000023,241865.2800999992
368,740534.1061000023,240865.2800999992
369,740534.1061000023,237865.2800999992
370,740534.1061000023,235865.2800999992
371,740534.1061000023,220865.2800999992
372,739534.1061000023,302865.2800999992
373,739534.1061000023,299865.2800999992
374,739534.1061000023,291865.2800999992
375,739534.1061000023,286865.2800999992
376,739534.1061000023,283865.2800999992
377,739534.1061000023,282865.2800999992
378,739534.1061000023,281865.2800999992
379,739534.1061000023,279865.2800999992
380,739534.1061000023,278865.2800999992
381,739534.1061000023,275865.2800999992
382,739534.1061000023,265865.2800999992
383,739534.1061000023,264865.2800999992
384,739534.1061000023,262865.2800999992
385,739534.1061000023,261865.2800999992
386,739534.1061000023,258865.2800999992
387,739534.1061000023,256865.2800999992
388,739534.1061000023,247865.2800999992
389,739534.1061000023,246865.2800999992
390,739534.1061000023,243865.2800999992
391,739534.1061000023,242865.2800999992
392,739534.1061000023,240865.2800999992
393,739534.1061000023,238865.2800999992
394,739534.1061000023,237865.2800999992
395,739534.1061000023,236865.2800999992
396,739534.1061000023,226865.2800999992
397,739534.1061000023,222865.2800999992
398,739534.1061000023,219865.2800999992
399,738534.1061000023,300865.2800999992
400,738534.1061000023,299865.2800999992
401,738534.1061000023,298865.2800999992
402,738534.1061000023,286865.2800999992
403,738534.1061000023,285865.2800999992
404,738534.1061000023,281865.2800999992
405,738534.1061000023,279865.2800999992
406,738534.1061000023,278865.2800999992
407,738534.1061000023,276865.2800999992
408,738534.1061000023,265865.2800999992
409,738534.1061000023,261865.2800999992
410,738534.1061000023,258865.2800999992
411,738534.1061000023,245865.2800999992
412,738534.1061000023,244865.2800999992
413,738534.1061000023,240865.2800999992
414,738534.1061000023,239865.2800999992
