ID,FORESTTYPES_RISK
0,5
1,3
2,3
3,3
4,3
5,3
6,1
7,1
8,1
9,1
10,3
11,5
12,5
13,1
14,5
15,3
16,5
17,3
18,3
19,3
20,1
21,3
22,3
23,1
24,3
25,3
26,3
27,1
28,1
29,3
30,3
31,3
32,1
33,1
34,3
35,1
36,1
37,5
38,3
39,5
40,3
41,5
42,3
43,1
44,1
45,1
46,1
47,1
48,3
49,1
50,5
51,5
52,5
53,5
54,3
55,3
56,5
57,1
58,1
59,3
60,3
61,3
62,1
63,1
64,1
65,3
66,3
67,1
68,3
69,5
70,3
71,1
72,3
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,3
81,5
82,3
83,1
84,3
85,5
86,5
87,3
88,3
89,1
90,3
91,3
92,3
93,5
94,3
95,1
96,5
97,5
98,5
99,5
100,3
101,1
102,5
103,5
104,5
105,1
106,1
107,3
108,1
109,5
110,1
111,3
112,5
113,5
114,5
115,5
116,5
117,3
118,5
119,1
120,3
121,1
122,3
123,3
124,3
125,5
126,3
127,3
128,1
129,3
130,1
131,3
132,3
133,5
134,5
135,1
136,3
137,5
138,5
139,3
140,5
141,5
142,5
143,5
144,5
145,1
146,3
147,5
148,3
149,1
150,1
151,3
152,5
153,1
154,1
155,1
156,1
157,1
158,3
159,3
160,1
161,3
162,3
163,5
164,5
165,5
166,5
167,3
168,1
169,5
170,3
171,5
172,3
173,1
174,1
175,3
176,1
177,3
178,3
179,3
180,1
181,1
182,5
183,5
184,5
185,3
186,5
187,3
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,3
196,3
197,3
198,1
199,1
200,1
201,1
202,1
203,1
204,3
205,1
206,3
207,1
208,5
209,1
210,1
211,1
212,1
213,1
214,5
215,5
216,3
217,1
218,1
219,1
220,1
221,3
222,3
223,3
224,3
225,3
226,3
227,5
228,1
229,3
230,3
231,3
232,5
233,3
234,5
235,1
236,1
237,1
238,1
239,1
240,1
241,3
242,1
243,1
244,3
245,3
246,3
247,1
248,1
249,3
250,3
251,3
252,3
253,1
254,1
255,1
256,3
257,1
258,3
259,1
260,3
261,3
262,3
263,5
264,1
265,5
266,5
267,1
268,1
269,1
270,1
271,1
272,3
273,3
274,3
275,1
276,1
277,3
278,1
279,5
280,3
281,1
282,3
283,5
284,5
285,5
286,5
287,1
288,3
289,1
290,3
291,1
292,1
293,1
294,5
295,3
296,3
297,1
298,3
299,3
300,1
301,1
302,1
303,3
304,1
305,1
306,3
307,1
308,3
309,1
310,3
311,3
312,3
313,3
314,5
315,3
316,3
317,1
318,5
319,5
320,1
321,1
322,5
323,1
324,5
325,3
326,3
327,1
328,3
329,1
330,1
331,3
332,1
333,1
334,3
335,1
336,1
337,1
338,1
339,1
340,3
341,5
342,3
343,3
344,5
345,3
346,3
347,3
348,3
349,3
350,3
351,3
352,1
353,1
354,1
355,3
356,3
357,1
358,1
359,3
360,1
361,1
362,1
363,1
364,1
365,3
366,3
367,3
368,3
369,3
370,3
371,3
