,STATION,MONTH,HOT_DAYS
0,LV01,1,0
1,LV01,2,0
2,LV01,3,0
3,LV01,4,0
4,LV01,5,0
5,LV01,6,9
6,LV01,7,2
7,LV01,8,6
8,LV01,9,1
9,LV01,10,0
10,LV01,11,0
11,LV01,12,0
12,LV02,1,0
13,LV02,2,0
14,LV02,3,0
15,LV02,4,0
16,LV02,5,0
17,LV02,6,16
18,LV02,7,7
19,LV02,8,11
20,LV02,9,2
21,LV02,10,0
22,LV02,11,0
23,LV02,12,0
24,LV03,1,0
25,LV03,2,0
26,LV03,3,0
27,LV03,4,0
28,LV03,5,0
29,LV03,6,2
30,LV03,7,0
31,LV03,8,1
32,LV03,9,0
33,LV03,10,0
34,LV03,11,0
35,LV03,12,0
36,LV04,1,0
37,LV04,2,0
38,LV04,3,0
39,LV04,4,0
40,LV04,5,0
41,LV04,6,13
42,LV04,7,5
43,LV04,8,8
44,LV04,9,1
45,LV04,10,0
46,LV04,11,0
47,LV04,12,0
48,LV05,1,0
49,LV05,2,0
50,LV05,3,0
51,LV05,4,0
52,LV05,5,0
53,LV05,6,15
54,LV05,7,7
55,LV05,8,11
56,LV05,9,2
57,LV05,10,0
58,LV05,11,0
59,LV05,12,0
60,LV06,1,0
61,LV06,2,0
62,LV06,3,0
63,LV06,4,0
64,LV06,5,0
65,LV06,6,10
66,LV06,7,0
67,LV06,8,0
68,LV06,9,0
69,LV06,10,0
70,LV06,11,0
71,LV06,12,0
72,LV07,1,0
73,LV07,2,0
74,LV07,3,0
75,LV07,4,0
76,LV07,5,0
77,LV07,6,12
78,LV07,7,4
79,LV07,8,5
80,LV07,9,1
81,LV07,10,0
82,LV07,11,0
83,LV07,12,0
84,LV08,1,0
85,LV08,2,0
86,LV08,3,0
87,LV08,4,0
88,LV08,5,0
89,LV08,6,0
90,LV08,7,1
91,LV08,8,1
92,LV08,9,1
93,LV08,10,0
94,LV08,11,0
95,LV08,12,0
96,LV09,1,0
97,LV09,2,0
98,LV09,3,0
99,LV09,4,0
100,LV09,5,0
101,LV09,6,1
102,LV09,7,0
103,LV09,8,0
104,LV09,9,0
105,LV09,10,0
106,LV09,11,0
107,LV09,12,0
108,LV10,1,0
109,LV10,2,0
110,LV10,3,0
111,LV10,4,0
112,LV10,5,0
113,LV10,6,7
114,LV10,7,5
115,LV10,8,2
116,LV10,9,0
117,LV10,10,0
118,LV10,11,0
119,LV10,12,0
120,LV10,1,0
121,LV10,2,0
122,LV10,3,0
123,LV10,4,0
124,LV10,5,0
125,LV10,6,7
126,LV10,7,5
127,LV10,8,2
128,LV10,9,0
129,LV10,10,0
130,LV10,11,0
131,LV10,12,0
132,LV11,1,0
133,LV11,2,0
134,LV11,3,0
135,LV11,4,0
136,LV11,5,0
137,LV11,6,0
138,LV11,7,0
139,LV11,8,1
140,LV11,9,0
141,LV11,10,0
142,LV11,11,0
143,LV11,12,0
144,LV12,1,0
145,LV12,2,0
146,LV12,3,0
147,LV12,4,0
148,LV12,5,0
149,LV12,6,0
150,LV12,7,0
151,LV12,8,10
152,LV12,9,1
153,LV12,10,0
154,LV12,11,0
155,LV12,12,0
156,LV13,1,0
157,LV13,2,0
158,LV13,3,0
159,LV13,4,0
160,LV13,5,0
161,LV13,6,13
162,LV13,7,6
163,LV13,8,10
164,LV13,9,1
165,LV13,10,0
166,LV13,11,0
167,LV13,12,0
168,LV14,1,0
169,LV14,2,0
170,LV14,3,0
171,LV14,4,0
172,LV14,5,0
173,LV14,6,0
174,LV14,7,0
175,LV14,8,0
176,LV14,9,1
177,LV14,10,0
178,LV14,11,0
179,LV14,12,0
180,LV15,1,0
181,LV15,2,0
182,LV15,3,0
183,LV15,4,0
184,LV15,5,0
185,LV15,6,7
186,LV15,7,1
187,LV15,8,0
188,LV15,9,0
189,LV15,10,0
190,LV15,11,0
191,LV15,12,0
192,LV16,1,0
193,LV16,2,0
194,LV16,3,0
195,LV16,4,0
196,LV16,5,0
197,LV16,6,1
198,LV16,7,1
199,LV16,8,6
200,LV16,9,0
201,LV16,10,0
202,LV16,11,0
