ID,STIGAS_RISK
0,-3
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-5
11,-3
12,-4
13,-1
14,-1
15,-1
16,-4
17,-1
18,-1
19,-1
20,-1
21,-5
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-2
30,-3
31,-5
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-4
40,-5
41,-5
42,-1
43,-1
44,-1
45,-1
46,-1
47,-1
48,-1
49,-1
50,-1
51,-4
52,-5
53,-3
54,-5
55,-2
56,-5
57,-1
58,-1
59,-1
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-4
67,-1
68,-4
69,-5
70,-4
71,-4
72,-4
73,-1
74,-1
75,-1
76,-1
77,-1
78,-1
79,-1
80,-4
81,-3
82,-1
83,-1
84,-5
85,-4
86,-3
87,-3
88,-1
89,-1
90,-1
91,-1
92,-1
93,-5
94,-1
95,-1
96,-5
97,-4
98,-4
99,-3
100,-1
101,-1
102,-5
103,-3
104,-4
105,-1
106,-1
107,-1
108,-1
109,-1
110,-1
111,-1
112,-1
113,-3
114,-5
115,-4
116,-5
117,-3
118,-4
119,-1
120,-1
121,-1
122,-3
123,-4
124,-4
125,-5
126,-5
127,-1
128,-1
129,-1
130,-1
131,-1
132,-1
133,-1
134,-3
135,-1
136,-3
137,-2
138,-5
139,-3
140,-5
141,-3
142,-4
143,-3
144,-5
145,-1
146,-1
147,-1
148,-3
149,-1
150,-1
151,-1
152,-4
153,-5
154,-4
155,-1
156,-1
157,-1
158,-1
159,-1
160,-1
161,-3
162,-1
163,-2
164,-4
165,-4
166,-1
167,-5
168,-5
169,-4
170,-1
171,-4
172,-1
173,-1
174,-1
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,-1
182,-1
183,-2
184,-4
185,-5
186,-1
187,-1
188,-1
189,-3
190,-1
191,-1
192,-1
193,-1
194,-1
195,-5
196,-1
197,-1
198,-1
199,-3
200,-4
201,-1
202,-1
203,-1
204,-5
205,-5
206,-5
207,-3
208,-1
209,-1
210,-1
211,-1
212,-1
213,-1
214,-1
215,-3
216,-1
217,-1
218,-1
219,-1
220,-1
221,-1
222,-5
223,-4
224,-5
225,-1
226,-1
227,-1
228,-1
229,-2
230,-5
231,-5
232,-3
233,-1
234,-3
235,-1
236,-1
237,-1
238,-1
239,-1
240,-1
241,-1
242,-1
243,-1
244,-4
245,-5
246,-3
247,-1
248,-4
249,-5
250,-1
251,-2
252,-1
253,-1
254,-1
255,-1
256,-1
257,-2
258,-5
259,-5
260,-2
261,-3
262,-1
263,-2
264,-1
265,-1
266,-1
267,-1
268,-1
269,-1
270,-1
271,-1
272,-1
273,-4
274,-1
275,-1
276,-1
277,-1
278,-1
279,-4
280,-5
281,-4
282,-2
283,-5
284,-2
285,-5
286,-2
287,-1
288,-1
289,-1
290,-1
291,-1
292,-1
293,-1
294,-1
295,-1
296,-1
297,-1
298,-1
299,-1
300,-1
301,-1
302,-2
303,-5
304,-1
305,-1
306,-1
307,-1
308,-1
309,-1
310,-4
311,-5
312,-4
313,-5
314,-4
315,-3
316,-4
317,-2
318,-3
319,-4
320,-1
321,-1
322,-1
323,-1
324,-3
325,-1
326,-1
327,-1
328,-1
329,-1
330,-1
331,-1
332,-1
333,-1
334,-1
335,-1
336,-1
337,-4
338,-1
339,-1
340,-1
341,-1
342,-1
343,-1
344,-1
345,-4
346,-5
347,-4
348,-4
349,-3
350,-2
351,-5
352,-1
353,-1
354,-1
355,-1
356,-1
357,-1
358,-1
359,-1
360,-1
361,-1
362,-1
363,-1
364,-1
365,-1
366,-1
367,-1
368,-1
369,-4
370,-1
371,-1
372,-5
373,-4
374,-3
375,-4
376,-1
377,-1
378,-1
379,-1
380,-5
381,-1
382,-1
383,-1
384,-1
385,-1
386,-1
387,-1
388,-1
389,-1
390,-1
391,-1
392,-1
393,-1
394,-1
395,-3
396,-1
397,-1
398,-1
399,-4
400,-3
401,-4
402,-3
403,-4
404,-1
405,-1
406,-5
407,-1
408,-1
409,-1
410,-1
411,-1
412,-1
413,-3
414,-2
415,-4
416,-1
417,-1
418,-1
419,-1
420,-1
421,-1
422,-1
423,-5
424,-3
425,-3
426,-4
427,-4
428,-3
429,-1
430,-3
431,-1
432,-1
433,-1
434,-1
435,-1
436,-1
437,-5
438,-1
439,-1
440,-3
441,-1
442,-1
443,-1
444,-4
445,-3
446,-1
447,-1
448,-1
449,-2
450,-4
451,-2
452,-1
453,-1
454,-1
455,-1
456,-1
457,-1
458,-1
459,-5
460,-4
461,-5
462,-4
463,-4
464,-2
465,-1
466,-1
467,-1
468,-4
469,-5
470,-1
471,-1
472,-1
473,-1
474,-1
475,-1
476,-1
477,-5
478,-1
479,-4
480,-2
481,-4
482,-4
483,-1
484,-1
485,-1
486,-3
487,-2
488,-1
489,-1
490,-1
491,-1
492,-3
493,-1
494,-5
495,-5
496,-1
497,-4
498,-4
499,-3
500,-1
501,-4
502,-1
503,-1
504,-5
505,-1
506,-1
507,-5
508,-2
509,-1
510,-1
511,-5
512,-1
513,-1
514,-1
515,-1
516,-1
517,-1
518,-1
519,-1
520,-1
521,-4
522,-1
523,-4
524,-1
525,-1
526,-1
527,-1
528,-5
529,-1
530,-2
531,-1
532,-1
533,-1
534,-2
535,-1
536,-1
537,-1
538,-1
539,-3
540,-4
541,-1
542,-1
543,-1
544,-1
545,-1
546,-4
547,-5
548,-1
549,-1
550,-1
551,-1
552,-1
553,-1
554,-1
555,-1
556,-1
557,-1
558,-1
559,-1
560,-1
561,-1
562,-1
563,-4
564,-1
565,-1
566,-1
567,-4
568,-1
569,-2
570,-5
571,-1
572,-5
573,-1
574,-3
575,-1
576,-1
577,-1
578,-3
579,-1
580,-1
581,-1
582,-1
583,-2
584,-1
585,-1
586,-4
587,-1
588,-1
589,-1
590,-1
591,-1
592,-1
593,-1
594,-4
595,-1
596,-5
597,-1
598,-1
599,-4
600,-5
601,-1
602,-1
603,-1
604,-1
605,-1
606,-1
607,-1
608,-3
609,-1
610,-5
611,-1
612,-1
613,-1
614,-1
615,-1
616,-1
617,-1
618,-1
619,-2
620,-1
621,-1
622,-1
623,-1
624,-1
625,-3
626,-1
627,-1
628,-1
629,-3
630,-4
631,-5
632,-1
633,-1
634,-1
635,-1
636,-1
637,-1
638,-1
639,-1
640,-1
641,-1
642,-1
643,-1
644,-1
645,-1
646,-1
647,-1
648,-3
649,-3
650,-5
651,-5
652,-2
653,-3
654,-3
655,-3
656,-1
657,-1
658,-1
659,-1
660,-1
661,-1
662,-5
663,-1
664,-1
665,-1
666,-1
667,-3
668,-1
669,-1
670,-1
671,-3
672,-5
673,-1
674,-1
675,-1
676,-5
677,-5
678,-1
679,-5
680,-5
681,-5
682,-5
683,-4
684,-3
685,-2
686,-2
687,-4
688,-1
689,-1
690,-1
691,-1
692,-3
693,-1
694,-1
695,-1
696,-1
697,-1
698,-1
699,-1
700,-1
701,-4
702,-4
703,-4
704,-1
705,-1
706,-1
707,-1
708,-2
709,-1
710,-1
711,-1
712,-1
713,-1
714,-1
715,-1
716,-1
717,-1
718,-4
719,-3
720,-5
721,-2
722,-4
723,-3
724,-5
725,-3
726,-5
727,-3
728,-2
729,-1
730,-4
731,-4
732,-1
733,-1
734,-1
735,-1
736,-1
737,-1
738,-1
739,-1
740,-1
741,-1
742,-1
743,-1
744,-1
745,-1
746,-1
747,-1
748,-1
749,-4
750,-3
751,-1
752,-1
753,-1
754,-1
755,-1
756,-1
757,-1
758,-1
759,-1
760,-1
761,-1
762,-1
763,-5
764,-1
765,-1
766,-4
767,-5
768,-3
769,-4
770,-2
771,-1
772,-1
773,-1
774,-1
775,-1
776,-1
777,-1
778,-1
779,-4
780,-1
781,-1
782,-1
783,-1
784,-1
785,-1
786,-5
787,-1
788,-1
789,-4
790,-1
791,-1
792,-3
793,-3
794,-1
795,-1
796,-1
797,-1
798,-1
799,-1
800,-1
801,-2
802,-5
803,-1
804,-5
805,-1
806,-4
807,-5
808,-5
809,-1
810,-1
811,-5
812,-4
813,-1
814,-1
815,-1
816,-5
817,-1
818,-1
819,-1
820,-1
821,-1
822,-1
823,-2
824,-1
825,-1
826,-1
827,-1
828,-1
829,-1
830,-1
831,-1
832,-1
833,-1
834,-1
835,-1
836,-5
837,-1
838,-1
839,-1
840,-1
841,-1
842,-1
843,-1
844,-1
845,-1
846,-1
847,-1
848,-1
849,-4
850,-4
851,-4
852,-1
853,-1
854,-1
855,-1
856,-1
857,-4
858,-5
859,-5
860,-2
861,-1
862,-1
863,-1
864,-1
865,-1
866,-1
867,-1
868,-1
869,-1
870,-2
871,-1
872,-1
873,-1
874,-4
875,-1
876,-1
877,-1
878,-2
879,-5
880,-1
881,-1
882,-1
883,-1
884,-1
885,-1
886,-1
887,-1
